dom/id	arquivo	origem	url
trp/ica2	airlines.dat	3ch.lua(teu)	https://raw.githubusercontent.com/jpatokal/openflights/master/data/airlines.dat
trp/icao	airports.csv	3ch.lua(teu)	https://davidmegginson.github.io/ourairports-data/airports.csv
trp/olc	encoding.csv	oficial	https://raw.githubusercontent.com/google/open-location-code/main/test_data/encoding.csv
trp/tld	tlds-alpha-by-domain.txt	3ch.lua(teu)	https://data.iana.org/TLD/tlds-alpha-by-domain.txt
trp/unl	code-list.csv	oficial	https://raw.githubusercontent.com/datasets/un-locode/master/data/code-list.csv
trp/w3w	openapi.yaml	3ch.lua(teu)	https://openapi.what3words.com/openapi/openapi.yaml
wrt/abj	index.json	3ch.lua(teu)	https://raw.githubusercontent.com/lamansky/hebrew/master/index.json
wrt/iau	constellations.csv	3ch.lua(teu)	https://raw.githubusercontent.com/dieghernan/celestial_data/main/data/constellations.csv
wrt/tz	tzdata-latest.tar.gz	3ch.lua(teu)	https://www.iana.org/time-zones/repository/tzdata-latest.tar.gz
wrt/uni	emoji-test.txt	3ch.lua(teu)	https://www.unicode.org/Public/emoji/latest/emoji-test.txt
