system_id	domain	name	authority	url	license	license_status	code_pattern	pattern_status	case_sensitive	raw_file	derived_from	version	retrieved_at	notes
cmp/frc	cmp	FourCC codec identifiers	community / VLC	https://raw.githubusercontent.com/videolan/vlc/master/src/misc/fourcc_list.h	GPL-2.0-or-later	ok	^.{1,4}$	derived	true	data/cmp/frc/raw/fourcc_list.h			2026-09-10	
cmp/git	cmp	git subcommands	git project	https://raw.githubusercontent.com/git/git/master/command-list.txt	GPL-2.0-only	ok	^[a-z][a-z0-9\-]*$	provisional	true	data/cmp/git/raw/command-list.txt			2026-09-10	
cmp/hex	cmp	CSS named colors	W3C CSSWG	https://raw.githubusercontent.com/bahamas10/css-color-names/master/css-color-names.json	MIT	ok	^[a-z]+$	provisional	false	data/cmp/hex/raw/css-color-names.json			2026-09-10	
cmp/htt	cmp	HTTP methods	IANA	https://www.iana.org/assignments/http-methods/methods.csv	iana-registry	ok	^([A-Z][A-Z\-]*|\*)$	derived	true	data/cmp/htt/raw/methods.csv			2026-09-10	
cmp/mim	cmp	media types	IANA	https://www.iana.org/assignments/media-types/media-types.xml	iana-registry	ok	^[a-z]+/[a-zA-Z0-9!#$&\-\^_\.\+]+$	derived	false	data/cmp/mim/raw/media-types.xml			2026-09-10	
cmp/reg	cmp	x86-64 register names	LLVM Project	https://raw.githubusercontent.com/llvm/llvm-project/main/llvm/lib/Target/X86/X86RegisterInfo.td	Apache-2.0-WITH-LLVM-exception	ok	^[a-z][a-z0-9.()]*$	derived	false	data/cmp/reg/raw/X86RegisterInfo.td			2026-09-10	
cmp/sts	cmp	HTTP status codes	IANA	https://www.iana.org/assignments/http-status-codes/http-status-codes-1.csv	iana-registry	ok	^\d{3}$	derived	false	data/cmp/sts/raw/http-status-codes-1.csv			2026-09-10	the IANA registry assigns about 64 status codes and leaves the rest of the 100 to 599 space unassigned. both are here: an assigned code carries its description and a null status, an unassigned one carries status unassigned and an empty label. IANA writes the gaps as ranges, 105-199, and those are expanded to one row per code.
cmp/vim	cmp	vim motion commands	vim project	https://raw.githubusercontent.com/vim/vim/master/runtime/doc/motion.txt	Vim	ok	^\S.*\S$|^\S$	derived	true	data/cmp/vim/raw/motion.txt			2026-09-10	
com/bau	com	Baudot / ITA2 teleprinter codes	ITU-T	https://www.itu.int/rec/T-REC-S.1-199303-I/en	itu-recommendation	ok	^[A-Z0-9\-]+$	derived	true	data/com/bau/raw/T-REC-S.1.pdf			2026-09-10	
com/mor	com	morse code	ITU-R	https://www.itu.int/dms_pubrec/itu-r/rec/m/R-REC-M.1677-1-200910-I!!PDF-E.pdf	itu-recommendation	ok	^([A-Z0-9\u00c9]|[^\w\s]{1,2})$	derived	false	data/com/mor/raw/R-REC-M.1677-1.pdf			2026-09-10	
com/tlg	com	ABC universal commercial telegraphic code	William Clauson-Thue (1901)	https://archive.org/download/abcuniversalco00clau/abcuniversalco00clau_djvu.xml	public-domain-expired	ok	^[A-Za-z]+$	provisional	false	data/com/tlg/raw/abcuniversalco00clau_djvu.xml			2026-09-10	
fin/cfi	fin	ISO 10962 CFI codes	SIX Group / ISO	https://www.six-group.com/dam/download/financial-information/data-center/cfi/cfi-20210507-current.xlsx	six-silent	check	^[A-Z]{6}$	derived	true	data/fin/cfi/raw/cfi-iso10962.xlsx			2026-09-10	SIX publishes free of charge and says nothing about redistribution
fin/cus	fin	CIK to CUSIP mapping	CUSIP Global Services / SEC	https://raw.githubusercontent.com/leoliu0/cik-cusip-mapping/master/cik-cusip-maps.csv	proprietary	problem	^[0-9A-Za-z]{6,9}$	provisional	true	data/fin/cus/raw/cik-cusip-maps.csv			2026-09-10	
fin/i42	fin	ISO 4217 currency codes	SIX Group / ISO	https://www.six-group.com/dam/download/financial-information/data-center/iso-currrency/lists/list-one.xml	six-silent	check	^[A-Z]{3}$	derived	true	data/fin/i42/raw/iso4217-list-one.xml			2026-09-10	SIX publishes free of charge and says nothing about redistribution
fin/mic	fin	ISO 10383 market identifier codes	ISO 20022 RA / SWIFT	https://www.iso20022.org/sites/default/files/ISO10383_MIC/ISO10383_MIC.xlsx	proprietary	problem	^[A-Z0-9]{4}$	derived	true	data/fin/mic/raw/ISO10383_MIC.xlsx			2026-09-10	
fin/tck	fin	SEC company tickers	US SEC	https://www.sec.gov/files/company_tickers.json	public-domain-usgov	ok	^[A-Z0-9\.\-]{1,10}$	provisional	true	data/fin/tck/raw/company_tickers.json			2026-09-10	
grf/act	grf	ActivityStreams 2.0 terms	W3C	https://www.w3.org/ns/activitystreams.jsonld	W3C-Document	ok	^[A-Za-z][A-Za-z0-9]*$	derived	true	data/grf/act/raw/activitystreams.jsonld			2026-09-10	
grf/foa	grf	FOAF vocabulary terms	FOAF project	http://xmlns.com/foaf/spec/index.rdf	CC-BY-1.0	ok	^[A-Za-z][A-Za-z0-9_]*$	derived	true	data/grf/foa/raw/index.rdf			2026-09-10	
grf/gql	grf	openCypher keywords	openCypher / Neo4j	https://raw.githubusercontent.com/cloudprivacylabs/opencypher/main/Cypher.g4	Apache-2.0	ok	^[A-Z][A-Z_]*$	derived	false	data/grf/gql/raw/Cypher.g4			2026-09-10	
grf/lpg	grf	property graph schema terms	arXiv 2211.10962	https://arxiv.org/pdf/2211.10962	CC-BY-4.0	ok	^\S+$	provisional	true	data/grf/lpg/raw/property-graph-2211.10962.pdf			2026-09-10	
grf/oid	grf	OpenID Connect discovery fields	OpenID Foundation	https://accounts.google.com/.well-known/openid-configuration	no-license-factual	ok	^[a-z][a-z0-9_]*$	derived	true	data/grf/oid/raw/openid-configuration.json			2026-09-10	
grf/org	grf	W3C Organization ontology terms	W3C	https://www.w3.org/ns/org.ttl	W3C-Document	ok	^[a-zA-Z][A-Za-z0-9]*$	derived	true	data/grf/org/raw/org.ttl			2026-09-10	
grf/rdf	grf	RDF Schema terms	W3C	https://www.w3.org/2000/01/rdf-schema.ttl	W3C-Document	ok	^[a-zA-Z][A-Za-z0-9]*$	derived	true	data/grf/rdf/raw/rdf-schema.ttl			2026-09-10	
grf/sch	grf	schema.org types and properties	schema.org / W3C CG	https://schema.org/version/latest/schemaorg-current-https.jsonld	CC-BY-SA-3.0	ok	^[A-Za-z0-9][A-Za-z0-9]*$	derived	true	data/grf/sch/raw/schemaorg-current-https.jsonld			2026-09-10	
grf/shc	grf	SHACL vocabulary terms	W3C	https://www.w3.org/ns/shacl.ttl	W3C-Document	ok	^[A-Za-z][A-Za-z0-9\-]*$	derived	true	data/grf/shc/raw/shacl.ttl			2026-09-10	
grf/sio	grf	SIOC vocabulary terms	SIOC Project / DERI	http://rdfs.org/sioc/ns#	CC-BY-SA-3.0	ok	^[A-Za-z][A-Za-z0-9_]*$	derived	true	data/grf/sio/raw/sioc-ns.rdf			2026-09-10	
grf/vcd	grf	vCard ontology terms	W3C	https://www.w3.org/2006/vcard/ns.ttl	W3C-Document	ok	^[a-zA-Z][A-Za-z0-9\-]*$	derived	true	data/grf/vcd/raw/ns.ttl			2026-09-10	
lng/b47	lng	BCP 47 language subtags	IANA	https://www.iana.org/assignments/language-subtag-registry	iana-registry	ok	^[A-Za-z0-9\-]+(\.\.[A-Za-z0-9\-]+)?$	derived	false	data/lng/b47/raw/language-subtag-registry.txt			2026-09-10	
lng/glt	lng	Glottolog languoid codes	MPI-EVA Leipzig	https://raw.githubusercontent.com/glottolog/glottolog-cldf/master/cldf/languages.csv	CC-BY-4.0	ok	^[a-z0-9]{4}\d{4}$	derived	true	data/lng/glt/raw/languages.csv			2026-09-10	
lng/i15	lng	ISO 15924 script codes	Unicode Consortium (RA)	https://www.unicode.org/iso15924/iso15924.txt	unicode-terms	ok	^[A-Z][a-z]{3}$	derived	true	data/lng/i15/raw/iso15924.txt			2026-09-10	
lng/i31	lng	ISO 3166-1 country codes	ISO 3166/MA	https://raw.githubusercontent.com/lukes/ISO-3166-Countries-with-Regional-Codes/master/all/all.csv	CC-BY-SA-4.0	ok	^[A-Z]{2,3}$	derived	true	data/lng/i31/raw/all.csv			2026-09-10	
lng/i39	lng	ISO 639-1 language codes	ISO 639/RA	https://raw.githubusercontent.com/datasets/language-codes/master/data/language-codes.csv	ODC-PDDL-1.0	ok	^[a-z]{2}$	derived	true	data/lng/i39/raw/language-codes.csv			2026-09-10	
lng/i63	lng	BCP 47 three-letter language subtags	IANA	https://www.iana.org/assignments/language-subtag-registry	iana-registry	ok	^[a-z]{3}$	derived	false	data/lng/b47/raw/language-subtag-registry.txt	lng/b47		2026-09-10	three-letter language subtags as IANA publishes them, extracted from the BCP 47 registry that also feeds lng/b47. this is not ISO 639-3 and is not labelled as such. RFC 5646 omits the three-letter form whenever a two-letter subtag exists, so eng, deu and por are absent by design, the registry carries en, de and pt instead. it also carries 115 ISO 639-5 collections and 224 deprecated subtags that ISO 639-3 does not. the SIL published table is the authority for ISO 639-3 proper and its terms forbid redistribution, so it is neither shipped nor used as a source here.
lng/ioc	lng	country codes composite	community / datasets.io	https://raw.githubusercontent.com/datasets/country-codes/master/data/country-codes.csv	ODC-PDDL-1.0	ok	^[A-Z]{2,3}$	derived	true	data/lng/ioc/raw/country-codes.csv			2026-09-10	
lng/mdy	lng	month names	Unicode CLDR	https://raw.githubusercontent.com/unicode-org/cldr-json/main/cldr-json/cldr-dates-full/main/en/ca-gregorian.json	unicode-terms	ok	^[A-Z][a-z]{2}$	derived	false	data/lng/mdy/raw/cldr-ca-gregorian.json			2026-09-10	
nte/wnt	nte	English WordNet 2024 synset and sense IDs	Global WordNet Association	https://en-word.net/static/english-wordnet-2024.xml.gz	CC-BY-4.0	ok	^\S+$	derived	true	data/nte/wnt/raw/english-wordnet-2024.xml			2026-09-10	
trp/iata	trp	IATA airport codes	IATA	https://davidmegginson.github.io/ourairports-data/airports.csv	public-domain-ourairports	ok	^[A-Z]{3}$	provisional	true	data/trp/iata/raw/airports.csv			2026-09-10	
trp/ica2	trp	IATA and ICAO airline codes	IATA / ICAO	https://raw.githubusercontent.com/jpatokal/openflights/master/data/airlines.dat	ODbL-1.0	ok	^[A-Z0-9]{2,3}$	derived	true	data/trp/ica2/raw/airlines.dat			2026-09-10	
trp/icao	trp	ICAO airport codes	ICAO	https://davidmegginson.github.io/ourairports-data/airports.csv	public-domain-ourairports	ok	^[A-Z0-9]{4}$	provisional	true	data/trp/icao/raw/airports.csv			2026-09-10	same OurAirports file as trp/iata, read on a different column
trp/olc	trp	Open Location Code (plus codes)	Google	https://raw.githubusercontent.com/google/open-location-code/main/test_data/encoding.csv	Apache-2.0	ok	^[023456789CFGHJMPQRVWX]{4,}\+[23456789CFGHJMPQRVWX]*$	provisional	true	data/trp/olc/raw/encoding.csv			2026-09-10	
trp/tld	trp	top level domains	IANA	https://data.iana.org/TLD/tlds-alpha-by-domain.txt	iana-registry	ok	^[A-Z0-9\-]+$	derived	false	data/trp/tld/raw/tlds-alpha-by-domain.txt			2026-09-10	
trp/unl	trp	UN/LOCODE location codes	UNECE	https://raw.githubusercontent.com/datasets/un-locode/master/data/code-list.csv	ODC-PDDL-1.0	ok	^[A-Z0-9]{3}$	derived	true	data/trp/unl/raw/code-list.csv			2026-09-10	
trp/w3w	trp	what3words API surface	what3words	https://openapi.what3words.com/openapi/openapi.yaml	proprietary	problem	^[a-zA-Z][a-zA-Z0-9_]*$	derived	true	data/trp/w3w/raw/openapi.yaml			2026-09-10	
wrt/abj	wrt	Hebrew alphabet letters	Unicode / community	https://raw.githubusercontent.com/lamansky/hebrew/master/index.json	MIT	ok	^\S+$	provisional	true	data/wrt/abj/raw/index.json			2026-09-10	the source covers the Hebrew block, not only the alphabet: 22 letters plus 19 points, 30 cantillation accents, 6 punctuation marks, 3 marks, 1 sign and 3 Yiddish ligatures. the group is in extra.
wrt/iau	wrt	IAU constellation abbreviations	International Astronomical Union	https://raw.githubusercontent.com/dieghernan/celestial_data/main/data/constellations.csv	BSD-3-Clause	ok	^[A-Z][A-Za-z]{2}$	derived	true	data/wrt/iau/raw/constellations.csv			2026-09-10	
wrt/tz	wrt	tz database zone names and abbreviations	IANA / tzdb	https://www.iana.org/time-zones/repository/tzdata-latest.tar.gz	public-domain-tzdb	ok	^\S+$	derived	true	data/wrt/tz/raw/extracted			2026-09-10	
wrt/uni	wrt	Unicode emoji sequences	Unicode Consortium	https://www.unicode.org/Public/emoji/latest/emoji-test.txt	unicode-terms	ok	^[0-9A-F]{4,6}( [0-9A-F]{4,6})*$	derived	true	data/wrt/uni/raw/emoji-test.txt			2026-09-10	
